 LINE ID,naics2002,2002 NAICS US TITLE,isic,ISIC 3.1 TITLE,NOTES
2226,0,Multiple NAICS industries,9600,Undifferentiated goods-producing activities of private households for own use,one to many links 96 to all of NAICS based on the goods
2227,0,Multiple NAICS industries,9700,Undifferentiated service-producing activities of private households for own use,one to many links 97 to all of NAICS based on the services
2,111110,Soybean Farming,0111,Growing of cereals and other crops n.e.c.,soybeans
3,111120,Oilseed (except Soybean) Farming,0111,Growing of cereals and other crops n.e.c.,"oilseeds, including sunflower, rape seed, canola, sesame"
4,111130,Dry Pea and Bean Farming,0111,Growing of cereals and other crops n.e.c.,dry peas and beans
5,111140,Wheat Farming,0111,Growing of cereals and other crops n.e.c.,wheat
6,111150,Corn Farming,0111,Growing of cereals and other crops n.e.c.,corn (except sweet corn)
7,111160,Rice Farming,0111,Growing of cereals and other crops n.e.c.,rice
8,111191,Oilseed and Grain Combination Farming,0111,Growing of cereals and other crops n.e.c.,combination oilseed and grain farming
9,111199,All Other Grain Farming,0111,Growing of cereals and other crops n.e.c.,"rye, barley, oats, wild rice"
10,111211,Potato Farming,0111,Growing of cereals and other crops n.e.c.,potatoes
11,111219,Other Vegetable (except Potato) and Melon Farming,0111,Growing of cereals and other crops n.e.c.,sweet potatoes and yams
12,111219,Other Vegetable (except Potato) and Melon Farming,0112,"Growing of vegetables, horticultural specialties and nursery products","vegetables, melons, sweet corn, onions, cabbages, carrots, lettuce, tomatoes, etc., grown in fields"
13,111310,Orange Groves,0113,"Growing of fruit, nuts, beverage and spice crops",oranges
14,111320,Citrus (except Orange) Groves,0113,"Growing of fruit, nuts, beverage and spice crops",citrus groves (except orange)
15,111331,Apple Orchards,0113,"Growing of fruit, nuts, beverage and spice crops",apples
16,111332,Grape Vineyards,0113,"Growing of fruit, nuts, beverage and spice crops",grape vineyards
17,111333,Strawberry Farming,0113,"Growing of fruit, nuts, beverage and spice crops",strawberry farms
18,111334,Berry (except Strawberry) Farming,0113,"Growing of fruit, nuts, beverage and spice crops",berry (except strawberry) farms
19,111335,Tree Nut Farming,0111,Growing of cereals and other crops n.e.c.,nuts used chiefly for oil extraction including tung nuts
20,111335,Tree Nut Farming,0113,"Growing of fruit, nuts, beverage and spice crops",edible nuts
21,111336,Fruit and Tree Nut Combination Farming,0113,"Growing of fruit, nuts, beverage and spice crops",combination fruit and tree nut farming
22,111339,Other Noncitrus Fruit Farming,0113,"Growing of fruit, nuts, beverage and spice crops","banana, cherry, apricot, olive, fig, date, coffee, peach, pineapple, prune, and similar noncitrus fruits"
23,111411,Mushroom Production,0112,"Growing of vegetables, horticultural specialties and nursery products",mushrooms
24,111419,Other Food Crops Grown Under Cover,0111,Growing of cereals and other crops n.e.c.,herbs and ginseng grown under cover
25,111419,Other Food Crops Grown Under Cover,0112,"Growing of vegetables, horticultural specialties and nursery products","growing melons, vegetables, etc., under cover"
26,111419,Other Food Crops Grown Under Cover,0113,"Growing of fruit, nuts, beverage and spice crops",fruit grown under cover
27,111419,Other Food Crops Grown Under Cover,0502,Aquaculture,seaweed grown under cover
28,111421,Nursery and Tree Production,0112,"Growing of vegetables, horticultural specialties and nursery products","nursery products, such as shrubs, bulbs, fruit stock, sod, and similar nursery stock (except tree nurseries and farms)"
29,111421,Nursery and Tree Production,0200,"Forestry, logging and related service activities",short rotation tree farming (such as Christmas trees)
30,111422,Floriculture Production,0112,"Growing of vegetables, horticultural specialties and nursery products","floriculture products, such as cut flowers, potted flower and foliage plants, and flower seeds"
31,111910,Tobacco Farming,0111,Growing of cereals and other crops n.e.c.,tobacco
32,111920,Cotton Farming,0111,Growing of cereals and other crops n.e.c.,cotton
33,111930,Sugarcane Farming,0111,Growing of cereals and other crops n.e.c.,sugarcane
34,111940,Hay Farming,0111,Growing of cereals and other crops n.e.c.,growing hay
35,111991,Sugar Beet Farming,0111,Growing of cereals and other crops n.e.c.,sugar beets
36,111992,Peanut Farming,0111,Growing of cereals and other crops n.e.c.,peanuts
