country,gdppc,case
Belgium,44670.3700700927,1
Bulgaria,7299.5524447107,2
Chile,14701.9538878105,3
Ethiopia,452.7782360529,4
Finland,45239.3688031623,5
France,41431.0396051717,6
Ghana,1659.7761448049,7
Hungary,14042.2814672026,8
Italy,33615.9715051706,9
Kenya,1075.63876294,10
Latvia,13816.9547020911,11
Peru,5823.9643413917,12
Portugal,21533.4699450238,13
Romania,9158.5193142509,14
Salvador,3668.1994456556,15
Spain,29494.4128503433,16
Colombia,13065.6646166392,17
India,5534.0348192175,18
Malaysia,21737.1288780478,19
Bangladesh,3201.8121411038,20
Pakistan,4772.6730400095,21
