NAICS Description,naics2002,data,total
"Forestry, Fishing, Hunting, and Agriculture Support",11,firms,22949
,11,estab.,23645
,11,empl.,172105
,11,ann. pay.,5564225
,11,est. rec.,28494852
Forestry and Logging,113,firms,10303
,113,estab.,10491
,113,empl.,64445
,113,ann. pay.,2260414
,113,est. rec.,11760017
Timber Tract Operations,1131,firms,406
,1131,estab.,450
,1131,empl.,2632
,1131,ann. pay.,130317
,1131,est. rec.,751137
Timber Tract Operations,11311,firms,406
,11311,estab.,450
,11311,empl.,2632
,11311,ann. pay.,130317
,11311,est. rec.,751137
Timber Tract Operations,113110,firms,406
,113110,estab.,450
,113110,empl.,2632
,113110,ann. pay.,130317
,113110,est. rec.,751137
Forest Nurseries and Gathering of Forest Products,1132,firms,174
,1132,estab.,231
,1132,empl.,2216
,1132,ann. pay.,72517
,1132,est. rec.,351622
Forest Nurseries and Gathering of Forest Products,11321,firms,174
,11321,estab.,231
,11321,empl.,2216
,11321,ann. pay.,72517
,11321,est. rec.,351622
Forest Nurseries and Gathering of Forest Products,113210,firms,174
,113210,estab.,231
,113210,empl.,2216
,113210,ann. pay.,72517
,113210,est. rec.,351622
Logging,1133,firms,9734
,1133,estab.,9810
,1133,empl.,59597
,1133,ann. pay.,2057580
,1133,est. rec.,10657258
Logging,11331,firms,9734
,11331,estab.,9810
,11331,empl.,59597
,11331,ann. pay.,2057580
,11331,est. rec.,10657258
Logging,113310,firms,9734
,113310,estab.,9810
,113310,empl.,59597
,113310,ann. pay.,2057580
,113310,est. rec.,10657258
"Fishing, Hunting and Trapping",114,firms,2380
,114,estab.,2389
,114,empl.,7147
,114,ann. pay.,335987
,114,est. rec.,2619696
Fishing,1141,firms,2053
,1141,estab.,2062
,1141,empl.,5302
,1141,ann. pay.,279282
,1141,est. rec.,2394775
Fishing,11411,firms,2053
,11411,estab.,2062
,11411,empl.,5302
,11411,ann. pay.,279282
,11411,est. rec.,2394775
Finfish Fishing,114111,firms,1105
,114111,estab.,1113
,114111,empl.,3159
,114111,ann. pay.,210605
,114111,est. rec.,1804132
Shellfish Fishing,114112,firms,934
,114112,estab.,935
,114112,empl.,2033
,114112,ann. pay.,63930
,114112,est. rec.,549355
Other Marine Fishing,114119,firms,14
,114119,estab.,14
,114119,empl.,110
,114119,ann. pay.,4747
,114119,est. rec.,41288
Hunting and Trapping,1142,firms,327
,1142,estab.,327
,1142,empl.,1845
,1142,ann. pay.,56705
,1142,est. rec.,224921
Hunting and Trapping,11421,firms,327
,11421,estab.,327
,11421,empl.,1845
,11421,ann. pay.,56705
,11421,est. rec.,224921
Hunting and Trapping,114210,firms,327
,114210,estab.,327
,114210,empl.,1845
,114210,ann. pay.,56705
,114210,est. rec.,224921
Support Activities for Agriculture and Forestry,115,firms,10271
,115,estab.,10765
,115,empl.,100513
,115,ann. pay.,2967824
,115,est. rec.,14115139
Support Activities for Crop Production,1151,firms,4294
,1151,estab.,4635
,1151,empl.,66313
,1151,ann. pay.,1949192
,1151,est. rec.,10191660
Support Activities for Crop Production,11511,firms,4294
,11511,estab.,4635
,11511,empl.,66313
,11511,ann. pay.,1949192
,11511,est. rec.,10191660
Cotton Ginning,115111,firms,264
,115111,estab.,279
,115111,empl.,2542
,115111,ann. pay.,91976
