"case" "country" "gdppc" "eta" "TauE" "Me" "Y" "TFP" "TFPpm" "AvZa" "Lp" "Wage" "EntryR" "ExitR" "M" "TauEWage_Y" "AvSize" "AvSize10" "slopeL" "LI" "AvRDint" "AvLe_AvLp" "Lshare90" "LshareTop" "TotIntanSh" "IntanMeSh" "IntanIncSh" "Ynorm" "AvSize10norm" "year" "start_L" "electr_L" "total_L" "TauEnorm"
"1" 1 "Belgium" 44670.3700700927 0.127562011778478 0.0490118853459929 0.0122375568910676 9.24865805938167 1.09330509458004 1.90241351682809 5.37467491191311 8.45935695830105 0.77074726665158 0.0644741131792078 0.0638330875188331 0.189805741989082 1.2927316690968 50.644839446527 50.644839446527 -0.920273146852721 0.552589204609987 0.0475127338092986 0.556706763995421 0.489143778762501 0.184721154221773 0.0783282747536592 0.0322776351581899 0.0460506395954693 0.921500028307875 0.43419508573935 2014 8.25627030731168 146.866346812756 155.122617120068 0.914890534740356
"12" 2 "Bulgaria" 7299.5524447107 0.160728967592872 0.20260947485043 0.0106370089455115 9.01823406760391 1.06326181416474 1.79824726591402 4.27772941097814 8.48166834119619 0.738529336276344 0.051457312420545 0.0508162867601704 0.206715206161147 5.25145572246162 46.7471109183864 46.7471109183864 -1.08614306311853 0.527416710121599 0.0456694838911892 0.648980331842011 0.422194038250833 0.135996786954029 0.0707618563663815 0.0275701727233057 0.0431916836430758 0.898541485178407 0.400778560167153 2014 1.87338296202632 639.385604939583 641.25898790161 1.00500704214499
"15" 3 "Chile" 14701.9538878105 0.161710140211503 0.0455801312458293 0.012178493191969 9.04120615542384 1.07634272154084 1.77196050798834 4.13849538401884 8.39993245133008 0.749690369075503 0.0543380360957817 0.053697010435407 0.224124647613359 1.19620287027588 42.8982300585972 42.8982300585972 -1.0719818685574 0.505263742643221 0.0430922102830927 0.670212853063395 0.40365659832603 0.0994942574691267 0.0738572913106717 0.0319611819651914 0.0418961093454803 0.900830333943323 0.367780821933997 2014 1.56320094079156 142.697914452258 144.26111539305 0.88698440904351
"16" 4 "Ethiopia" 452.7782360529 0.29206622444049 1.04739336492891 0.00798561434732478 8.32395028438445 0.987621068364699 1.55300069619835 2.01393447755904 8.4282834287519 0.634284656322963 0.0310493309392308 0.0304083052788562 0.257191189174224 25.2602855439008 37.8988694762423 37.8988694762423 -1.8508338054035 0.504961776276187 0.0460798243900926 0.903677831309631 0.304497962595585 0.0142201014516339 0.0577372006958397 0.0192591349002726 0.0384780657955671 0.829365771060459 0.324919637647107 2014 168.333333333333 3146.66666666667 3315 1.46947509416367
"17" 5 "Finland" 45239.3688031623 0.00100000004749745 0.0158994302564075 0.00773894465953145 10.0294067146647 1.17685552994077 2.68938131142143 19.3157823616436 8.52220723742485 0.881095949332014 0.0804224580176807 0.079781432357306 0.0837938816972199 0.442082407335917 116.417358963353 116.417358963353 -0.202967579547355 0.967647534677934 0.0715920783497681 0.19377983785382 0.785038987976535 0.670641366409168 0.106527123631187 0.0215180749963153 0.0850090486348716 0.999290763279942 0.998084813952514 2014 1.80305753868673 48.5186392228429 50.3216967615297 1.01286287708432
"18" 6 "France" 41431.0396051717 0.00100000004749745 0.0221167656972554 0.00762622360369991 10.0277460822262 1.17605137885252 2.6978745654486 19.4980465800121 8.52662244400436 0.880479034787043 0.080168511626247 0.0795274859658723 0.0828349520040421 0.614626126327139 117.808120723917 117.808120723917 -0.200776804530905 0.969834961914818 0.0718292947990099 0.19196841892336 0.787036318783698 0.673464135850398 0.106348978808461 0.021193317290163 0.0851556615182978 0.999125304374522 1.01000827799091 2014 1.4285625190166 68.5710009127968 69.9995634318134 1.01834811512932
"19" 7 "Ghana" 1659.7761448049 0.285891954992179 1.22095839915745 0.00737868988922694 8.33918329888212 0.983336670008143 1.57874259386185 2.09207152186165 8.48049661242987 0.629758641506441 0.0305356052178515 0.0298945795574768 0.241642169414519 29.1826812503657 40.4170534120105 40.4170534120104 -1.8644738521287 0.521170398411812 0.0476089018116902 0.878977033437793 0.325088235403186 0.023742924112516 0.0569939005204775 0.0176361420525481 0.0393577584679294 0.830883528901726 0.346508867701884 2014 38.8333333333333 3825.5 3864.33333333333 1.58267335864112
"20" 8 "Hungary" 14042.2814672026 0.0985440806828585 0.0656620789581926 0.0116514848445653 9.4135180109299 1.11426108342901 1.97714404910574 6.15056105319267 8.44821572872394 0.7893110368966 0.0650931550830422 0.0644521294226675 0.178997082407528 1.74254722105806 53.8066340499701 53.8066340499701 -0.734201672111892 0.61648902139863 0.0520694120566094 0.49741981880452 0.490061987937831 0.244349980539573 0.0826126237340515 0.0309208345272389 0.0516917892068126 0.937926027522369 0.461302204528456 2014 14.2980490173043 193.522430885375 207.820479902679 0.95179719361138
"21" 9 "Italy" 33615.9715051706 0.0292514075231985 0.134708311997352 0.00914400264460521 9.8542317177005 1.15572028450003 2.42300324316718 12.6212921612973 8.52648504128613 0.841248799815082 0.0733749862290514 0.0727339605686768 0.10851661074003 3.63973521514926 89.4848470991208 89.4848470991207 -0.381450782853301 0.840652209647655 0.0694590322276365 0.287748985405391 0.677481576974134 0.515362033171506 0.096472414718211 0.0247065294937246 0.0717658852244863 0.98183701338186 0.76718341460237 2014 26.3111502220644 400.040657249556 426.35180747162 1.08015337333821
"2" 10 "Kenya" 1075.63876294 0.368664177765938 0.826946262677472 0.00804971730614491 7.76989082054487 0.908827433310849 1.41209429949676 1.83841994752791 8.54935770615907 0.612711592622296 0.030194472343195 0.0295534466828204 0.266595727014222 20.6391676566796 36.5543235050101 36.5543235050101 -2.63860122348762 0.352093278341974 0.0314585837046935 1.03711553622584 0.255743888787179 0.00345621936496565 0.0478558001868413 0.0200907210747788 0.0277650791120625 0.774161458355385 0.313392396971854 2014 89.3079803452383 2527.97694102896 2617.2849213742 1.26665576219962
"3" 11 "Latvia" 13816.9547020911 0.0596436083416815 0.179142293019249 0.00941808281690237 9.625120138349 1.13260604499957 2.14779317682104 8.1894005316425 8.4982065748666 0.809951143585298 0.0642248730414812 0.0635838473811065 0.146642295591919 4.77116572563452 66.1604323860051 66.1604323860052 -0.538736300497904 0.739588247616694 0.0611043860546348 0.387208638340787 0.607157219579356 0.374709170733185 0.0873196855479014 0.0250835432110703 0.0622361423368311 0.959009233881037 0.567215434510849 2014 3.28436639960748 563.700991006316 566.985357405923 1.08069159095461
"4" 12 "Peru" 5823.9643413917 0.179872042404048 0.374327894311857 0.010667912775944 9.04101744090762 1.09143628656281 1.74442700654268 3.17261098175332 8.28359616792647 0.719737707885651 0.0435554690952346 0.04291444343486 0.244927055029955 9.43154518672348 39.4499520011342 39.4499520011342 -1.15035062079142 0.603570276957805 0.0538463495430417 0.703005912721004 0.387755599037069 0.0901784966034246 0.074927863848174 0.0268788151072718 0.0480490487409023 0.900811531168811 0.338217585024259 2014 30.9887223629453 1153.75906313408 1184.74778549703 1.11928671806727
"5" 13 "Portugal" 21533.4699450238 0.346947247173182 0.0304659275709999 0.0122935223174011 8.05251613809601 0.960244554384883 1.44775150404885 2.21117253913263 8.38590138452211 0.665393042952322 0.0421320750912054 0.0414910494308308 0.291785350965711 0.796773288827925 32.9382883394763 32.9382883394763 -2.45390564167108 0.301508014146004 0.0266479088652491 0.990916964724099 0.259794956848354 0.00326988642514147 0.0570652816829597 0.0321511639629104 0.0249141177200494 0.802321136921911 0.282390922470327 2014 4.13248546123777 92.2921753009769 96.4246607622146 0.775869401468785
"6" 14 "Romania" 9158.5193142509 0.151709306628513 0.0529269873161375 0.0120181495442019 9.09424024804831 1.08283920235562 1.79213438161838 4.29834176989384 8.39851404369606 0.754957564332786 0.054482547743045 0.0538415220826704 0.220587142893589 1.39061529250992 43.6091852196076 43.6091852196075 -1.04758652407848 0.522953228971038 0.0443918916116139 0.651320600063401 0.422454189783419 0.111261529067121 0.0749896674082588 0.0315767505251064 0.0434129168831524 0.906114443004438 0.373876077451938 2014 5.25533850527295 162.258576350302 167.513914855575 0.899492466799924
"7" 15 "Salvador" 3668.1994456556 0.333734160929711 0.319378620326488 0.00978968217704247 7.99682186583486 0.940087677196245 1.45617180421974 2.23327908349071 8.50646387545989 0.650213391434657 0.0363832395249371 0.0357422138645624 0.269071207096131 8.21898215249899 36.0133537415956 36.0133537415956 -2.39187195408612 0.332082327176178 0.0291971605327538 0.99124213435921 0.282261602694539 0.00510456073211751 0.0521943264105385 0.0251930526781275 0.0270012737324109 0.796771977991423 0.308754482914368 2014 74.3333333333333 936.5 1010.83333333333 0.970738120548521
"8" 16 "Spain" 29494.4128503433 0.0149752782188005 0.12335995947304 0.008114236854193 9.93842700179765 1.16403608115051 2.55735761972759 15.4883946592727 8.53790287322938 0.856417847499659 0.074925673663866 0.0742846480034913 0.094302875400371 3.36446476385391 103.317999215767 103.317999215767 -0.297723609337212 0.90681293638594 0.072338874259153 0.237929437469612 0.734652455505618 0.59501724262998 0.100272633001945 0.0221304095973739 0.0781422234045709 0.990225901389263 0.885779637533919 2014 8.62647529235904 381.807796439811 390.43427173217 1.08863271605605
"9" 17 "Colombia" 13065.6646166392 0.220190438265964 0.279324658032201 0.0121129718426921 8.86873783544724 1.08065999759708 1.66228680696084 2.64159747335037 8.20677905647237 0.705809550528445 0.044086066850391 0.0434450411900163 0.274757371388977 7.03572244370167 35.0004238182391 35.0004238182392 -1.40903420692504 0.540238319362204 0.0488664091557392 0.781696458548843 0.378937972272921 0.0407001042842839 0.0735048784074913 0.0305105569558807 0.0429943214516106 0.883646266728358 0.300070297127106 2014 12.0751576580575 871.98738501386 884.062542671917 1.02175091141081
"10" 18 "India" 5534.0348192175 0.205349976361461 0.416320948626769 0.0108168236572967 8.92324184851202 1.07735822531299 1.70329380300335 2.85711950599521 8.28252074273593 0.70458975144278 0.0427452689056006 0.042104243245226 0.253053119894619 10.4043662479879 38.1645068805897 38.1645068805897 -1.33579749938098 0.574213677823665 0.0519684828435059 0.743101507093772 0.415015010709639 0.051943208071247 0.0723731491717126 0.0270325566604509 0.0453405925112617 0.889076832899105 0.327197035637044 2014 83.1608747840585 1234.49492761966 1317.65580240372 1.12921004592541
"11" 19 "Malaysia" 21737.1288780478 0.100124794039536 0.0241421967430873 0.0121972294350076 9.41179040615254 1.11717898657097 1.96276233193626 6.02775046975872 8.42460386320078 0.791720794971187 0.0661448540209041 0.0655038283605295 0.184401789308551 0.64276215599017 52.1359241094364 52.1359241094363 -0.751837589093346 0.605722173706904 0.0509287402280339 0.50689261407373 0.480526041165126 0.235712181232108 0.0834273324055672 0.0324739196961838 0.0509534127093834 0.937753895755683 0.446978651451709 2014 14.3033596171976 62.1066930746737 76.4100526918712 0.917506278602196
"13" 20 "Bangladesh" 3201.8121411038 0.345764058139536 2.30568720379147 0.00428027938372871 7.51924185989841 0.8377604177407 1.53448844807393 2.36281345655615 8.97540836337977 0.565022499336113 0.0263028904439025 0.0256618647835278 0.162730381014873 54.8360022996314 60.6188536990902 60.6188536990903 -2.25284929918706 0.374079146053616 0.0327047933709025 0.928162527351214 0.292263630813928 0.0334110035349277 0.0382893931902762 0.0101797595342592 0.0281096336560171 0.749187778622814 0.51970563372183 2014 31.3333333333333 7266.16666666667 7297.5 2.11350963002922
"14" 21 "Pakistan" 4772.6730400095 0.4700538284 0.783307003686151 0.00906605433842635 7.23383367430213 0.864630088658391 1.24363823726464 1.26549733993442 8.36639132640707 0.584031628716564 0.0269779834101603 0.0263369577497856 0.336053818426323 20.0158283136294 28.9032852807079 28.9032852807079 -4.15380814532151 0.283057734740286 0.0257766830064202 1.16722039890408 0.265740377538581 0.000105329185537094 0.0460194528050961 0.0231664709307045 0.0228529818743916 0.720750825994916 0.247797496600939 2014 17.3333333333333 2461.83333333333 2479.16666666667 1.17852612718189
