countrycode,country,currency_unit,year,labsh
ABW,Aruba,Aruban Guilder,2014,0.645106136798859
AGO,Angola,Kwanza,2014,
AIA,Anguilla,East Caribbean Dollar,2014,
ALB,Albania,Lek,2014,
ARE,United Arab Emirates,UAE Dirham,2014,
ARG,Argentina,Argentine Peso,2014,0.432943314313889
ARM,Armenia,Armenian Dram,2014,0.633002698421478
ATG,Antigua and Barbuda,East Caribbean Dollar,2014,
AUS,Australia,Australian Dollar,2014,0.568856477737427
AUT,Austria,Euro,2014,0.588560819625855
AZE,Azerbaijan,Azerbaijanian Manat,2014,0.229080632328987
BDI,Burundi,Burundi Franc,2014,0.608643054962158
BEL,Belgium,Euro,2014,0.629824340343475
BEN,Benin,CFA Franc BCEAO,2014,0.617155015468598
BFA,Burkina Faso,CFA Franc BCEAO,2014,0.546309769153595
BGD,Bangladesh,Taka,2014,
BGR,Bulgaria,Bulgarian Lev,2014,0.533793687820435
BHR,Bahrain,Bahraini Dinar,2014,0.285800784826279
BHS,Bahamas,Bahamian Dollar,2014,0.407135397195816
BIH,Bosnia and Herzegovina,Convertible Marks,2014,0.671056210994721
BLR,Belarus,Belarussian Ruble,2014,0.561414420604706
BLZ,Belize,Belize Dollar,2014,
BMU,Bermuda,Bermudian Dollar,2014,0.731788456439972
BOL,Bolivia (Plurinational State of),Boliviano,2014,0.461052387952805
BRA,Brazil,Brazilian Real,2014,0.557626307010651
BRB,Barbados,Barbados Dollar,2014,0.755084037780762
BRN,Brunei Darussalam,Brunei Dollar,2014,
BTN,Bhutan,Ngultrum,2014,
BWA,Botswana,Pula,2014,0.277960985898972
CAF,Central African Republic,CFA Franc BEAC,2014,0.164315789937973
CAN,Canada,Canadian Dollar,2014,0.619117975234985
CHE,Switzerland,Swiss Franc,2014,0.6541987657547
CHL,Chile,Chilean Peso,2014,0.447799116373062
CHN,China,Yuan Renminbi,2014,0.567238628864288
CIV,Côte d'Ivoire,CFA Franc BCEAO,2014,0.477792412042618
CMR,Cameroon,CFA Franc BEAC,2014,0.50266045331955
COD,D.R. of the Congo,Franc Congolais,2014,
COG,Congo,CFA Franc BEAC,2014,
COL,Colombia,Colombian Peso,2014,0.621109902858734
COM,Comoros,Comoro Franc,2014,
CPV,Cabo Verde,Cabo Verde Escudo,2014,
CRI,Costa Rica,Costa Rican Colon,2014,0.621065258979797
CUW,Curaçao,Netherlands Antillian Guilder,2014,
CYM,Cayman Islands,Cayman Islands Dollar,2014,0.552265286445618
CYP,Cyprus,Euro,2014,0.469680637121201
CZE,Czech Republic,Czech Koruna,2014,0.512400388717651
DEU,Germany,Euro,2014,0.622717499732971
DJI,Djibouti,Djibouti Franc,2014,0.633495330810547
DMA,Dominica,East Caribbean Dollar,2014,
DNK,Denmark,Danish Krone,2014,0.64039546251297
DOM,Dominican Republic,Dominican Peso,2014,0.661860883235931
DZA,Algeria,Algerian Dinar,2014,
ECU,Ecuador,US Dollar,2014,0.451253831386566
EGY,Egypt,Egyptian Pound,2014,0.377840906381607
ESP,Spain,Euro,2014,0.579611003398895
EST,Estonia,Euro,2014,0.591110229492188
ETH,Ethiopia,Ethiopian Birr,2014,
FIN,Finland,Euro,2014,0.610074818134308
FJI,Fiji,Fiji Dollar,2014,0.488626480102539
FRA,France,Euro,2014,0.630003929138184
GAB,Gabon,CFA Franc BEAC,2014,0.275395452976227
GBR,United Kingdom,Pound Sterling,2014,0.612551331520081
GEO,Georgia,Lari,2014,0.535904169082642
GHA,Ghana,Cedi,2014,
GIN,Guinea,Guinea Franc,2014,0.383864760398865
GMB,Gambia,Dalasi,2014,
GNB,Guinea-Bissau,CFA Franc BCEAO,2014,
GNQ,Equatorial Guinea,CFA Franc BEAC,2014,
GRC,Greece,Euro,2014,0.479653507471085
GRD,Grenada,East Caribbean Dollar,2014,
GTM,Guatemala,Quetzal,2014,0.416369259357452
HKG,"China, Hong Kong SAR",Hong Kong Dollar,2014,0.521125316619873
HND,Honduras,Lempira,2014,0.618218064308167
HRV,Croatia,Croatian Kuna,2014,0.671672642230988
HTI,Haiti,Gourde,2014,
HUN,Hungary,Forint,2014,0.601480662822723
IDN,Indonesia,Rupiah,2014,0.456579208374023
IND,India,Indian Rupee,2014,0.495425283908844
IRL,Ireland,Euro,2014,0.485076516866684
IRN,Iran (Islamic Republic of),Iranian Rial,2014,0.262268930673599
IRQ,Iraq,Iraqi Dinar,2014,0.296306312084198
ISL,Iceland,Iceland Krona,2014,0.746368229389191
ISR,Israel,New Israeli Sheqel,2014,0.536046981811523
ITA,Italy,Euro,2014,0.539695143699646
JAM,Jamaica,Jamaican Dollar,2014,0.60558807849884
JOR,Jordan,Jordanian Dinar,2014,0.483452498912811
JPN,Japan,Yen,2014,0.602793037891388
KAZ,Kazakhstan,Tenge,2014,0.4155453145504
