"case" "totalgain" "gainmisalloc" "gaineb" "country" "gdppc"
"1" 1 1.08518716145486 1.08366898260822 1.00102595145493 "Belgium" 44670.3700700927
"2" 2 1.11291466948958 1.10562573797274 1.02215251717513 "Bulgaria" 7299.5524447107
"3" 3 1.11008695235935 1.1086474025851 1.01906599313345 "Chile" 14701.9538878105
"4" 4 1.20574062119945 1.14606335505662 1.02986728142507 "Ethiopia" 452.7782360529
"5" 5 1.00070974009379 1.00027027678812 1.00041451997489 "Finland" 45239.3688031623
"6" 6 1.00087546138772 1.00026012126364 1.00058019237926 "France" 41431.0396051717
"7" 7 1.20353811962287 1.13298743955554 1.03105319020627 "Ghana" 1659.7761448049
"8" 8 1.06618216219205 1.06415264143733 1.0012433926628 "Hungary" 14042.2814672026
"9" 9 1.0184989834062 1.01428267990267 1.00279854982927 "Italy" 33615.9715051706
"10" 10 1.29172020798398 1.24352285764663 1.02749114463867 "Kenya" 1075.63876294
"11" 11 1.04274282735848 1.03680572668683 1.01007044776098 "Latvia" 13816.9547020911
"12" 12 1.11011012337119 1.09504786309188 1.01015205714622 "Peru" 5823.9643413917
"13" 13 1.24638371592263 1.24531923054616 1.00066757354202 "Portugal" 21533.4699450238
"14" 14 1.10361335449445 1.10193988039018 1.00099638081463 "Romania" 9158.5193142509
"15" 15 1.25506421864997 1.24104372716816 1.01553778245712 "Salvador" 3668.1994456556
"16" 16 1.00987057458003 1.00607656191549 1.00266893426692 "Spain" 29494.4128503433
"17" 17 1.13167455989197 1.12090572069729 1.01030533081515 "Colombia" 13065.6646166392
"18" 18 1.12476218364525 1.10732458844777 1.01114690298518 "India" 5534.0348192175
"19" 19 1.06637786793107 1.06566073936868 1.00044818249517 "Malaysia" 21737.1288780478
"20" 20 1.33477884788542 1.19945475093579 1.07238503643845 "Bangladesh" 3201.8121411038
"21" 21 1.38744204506406 1.33902552480404 1.02879998040211 "Pakistan" 4772.6730400095
